id,"name",root_category_id,"created_at","updated_at"
1,"トップス",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
2,"ジャケット/アウター",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
3,"パンツ",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
4,"スカート",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
5,"ワンピース",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
6,"靴",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
7,"ルームウェア/パジャマ",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
8,"レッグウェア",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
9,"帽子",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
10,"バッグ",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
11,"アクセサリー",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
12,"ヘアアクセサリー",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
13,"小物",1,"2017-06-28 03:48:09","2017-06-28 03:48:09"
14,"時計",1,"2017-06-28 03:48:10","2017-06-28 03:48:10"
15,"ウィッグ/エクステ",1,"2017-06-28 03:48:10","2017-06-28 03:48:10"
16,"浴衣/水着",1,"2017-06-28 03:48:10","2017-06-28 03:48:10"
17,"スーツ/フォーマル/ドレス",1,"2017-06-28 03:48:10","2017-06-28 03:48:10"
18,"マタニティ",1,"2017-06-28 03:48:10","2017-06-28 03:48:10"
19,"その他",1,"2017-06-28 03:48:10","2017-06-28 03:48:10"
20,"トップス",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
21,"ジャケット/アウター",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
22,"パンツ",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
23,"靴",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
24,"バッグ",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
25,"スーツ",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
26,"帽子",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
27,"アクセサリー",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
28,"小物",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
29,"時計",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
30,"水着",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
31,"レッグウェア",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
32,"アンダーウェア",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
33,"その他",2,"2017-06-28 03:48:10","2017-06-28 03:48:10"
34,"ベビー服(女の子用)  ~95cm",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
35,"ベビー服(男の子用)  ~95cm",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
36,"ベビー服(男女兼用)  ~95cm",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
37,"キッズ服(女の子用) 100cm~",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
38,"キッズ服(男の子用) 100cm~",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
39,"キッズ服(男女兼用) 100cm~",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
40,"キッズ靴",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
41,"子ども用ファッション小物",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
42,"おむつ/トイレ/バス",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
43,"外出/移動用品",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
44,"授乳/食事",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
45,"ベビー家具/寝具/室内用品",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
46,"おもちゃ",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
47,"行事/記念品",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
48,"その他",3,"2017-06-28 03:48:10","2017-06-28 03:48:10"
49,"キッチン/食器",4,"2017-06-28 03:48:10","2017-06-28 03:48:10"
50,"ベッド/マットレス",4,"2017-06-28 03:48:10","2017-06-28 03:48:10"
51,"ソファ/ソファベッド",4,"2017-06-28 03:48:10","2017-06-28 03:48:10"
52,"椅子/チェア",4,"2017-06-28 03:48:10","2017-06-28 03:48:10"
