id,"name",category_id,"created_at","updated_at"
1,"Tシャツ/カットソー(半袖/袖なし)",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
2,"Tシャツ/カットソー(七分/長袖)",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
3,"シャツ/ブラウス(半袖/袖なし)",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
4,"シャツ/ブラウス(七分/長袖)",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
5,"ポロシャツ",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
6,"キャミソール",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
7,"タンクトップ",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
8,"ホルターネック",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
9,"ニット/セーター",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
10,"チュニック",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
11,"カーディガン/ボレロ",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
12,"アンサンブル",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
13,"ベスト/ジレ",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
14,"パーカー",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
15,"トレーナー/スウェット",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
16,"ベアトップ/チューブトップ",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
17,"ジャージ",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
18,"その他",1,"2017-06-28 07:15:06","2017-06-28 07:15:06"
19,"テーラードジャケット",2,"2017-06-28 07:15:06","2017-06-28 07:15:06"
20,"ノーカラージャケット",2,"2017-06-28 07:15:06","2017-06-28 07:15:06"
21,"Gジャン/デニムジャケット",2,"2017-06-28 07:15:06","2017-06-28 07:15:06"
22,"レザージャケット",2,"2017-06-28 07:15:06","2017-06-28 07:15:06"
23,"ダウンジャケット",2,"2017-06-28 07:15:06","2017-06-28 07:15:06"
24,"ライダースジャケット",2,"2017-06-28 07:15:06","2017-06-28 07:15:06"
25,"ミリタリージャケット",2,"2017-06-28 07:15:07","2017-06-28 07:15:07"
26,"ダウンベスト",2,"2017-06-28 07:15:07","2017-06-28 07:15:07"
27,"ジャンパー/ブルゾン",2,"2017-06-28 07:15:07","2017-06-28 07:15:07"
28,"ポンチョ",2,"2017-06-28 07:15:07","2017-06-28 07:15:07"
29,"ロングコート",2,"2017-06-28 07:15:07","2017-06-28 07:15:07"
